"id","title","area","region","extended","lon","lat"
1513118,"Маркеев","Чаплинський район","Херсонська область","Маркеев Чаплинський район",34.0474598,46.5211236
1512973,"Марьяновка","Каховський район","Херсонська область","Марьяновка Каховський район",33.9120971,46.5693886
1513040,"Маячка","Новотроїцький район","Херсонська область","Маячка Новотроїцький район",34.4988588,46.2942559
1513041,"Метрополь","Новотроїцький район","Херсонська область","Метрополь Новотроїцький район",34.3467151,46.4630413
1512725,"Милово","Бериславський район","Херсонська область","Милово Бериславський район",33.6345146,47.0640194
1512949,"Мирное","Каланчацький район","Херсонська область","Мирное Каланчацький район",33.4733077,46.2495845
1513018,"Миролюбовка","Нововоронцовський район","Херсонська область","Миролюбовка Нововоронцовський район",33.6473321,47.4069239
1512763,"Миролюбовка / Радянское","Білозерський район","Херсонська область","Миролюбовка / Радянское Білозерський район",32.2932022,46.7219936
1513019,"Михайловка","Нововоронцовський район","Херсонська область","Михайловка Нововоронцовський район",33.9567329,47.3094199
1513062,"Михайловка","Скадовський район","Херсонська область","Михайловка Скадовський район",32.6555397,46.2796609
1513080,"Молодежное","Херсон город","Херсонська область","Молодежное Херсон город",32.6901402,46.7319116
1513119,"Молочное","Чаплинський район","Херсонська область","Молочное Чаплинський район",33.8776999,46.4129289
1512849,"Москаленка","Генічеський район","Херсонська область","Москаленка Генічеський район",34.7424549,46.286229
1512755,"Музиковка","Білозерський район","Херсонська область","Музиковка Білозерський район",32.5607144,46.7530242
1513081,"Надднепровское","Херсон город","Херсонська область","Надднепровское Херсон город",32.7098127,46.7472048
1512756,"Надеждовка","Білозерський район","Херсонська область","Надеждовка Білозерський район",32.3606094,46.7074304
1513120,"Надеждовка","Чаплинський район","Херсонська область","Надеждовка Чаплинський район",33.6424685,46.3982316
1512831,"Натальино","Високопільський район","Херсонська область","Натальино Високопільський район",33.2749807,47.4629654
1512995,"Нижние Серогозы","Нижньосірогозький район","Херсонська область","Нижние Серогозы Нижньосірогозький район",34.3804247,46.8485653
1512996,"Нижние Торгаи","Нижньосірогозький район","Херсонська область","Нижние Торгаи Нижньосірогозький район",34.2577199,46.7836261
1512817,"Нижний Рогачик","Верхньорогачицький район","Херсонська область","Нижний Рогачик Верхньорогачицький район",34.0306864,47.3424917
1512726,"Николаевка","Бериславський район","Херсонська область","Николаевка Бериславський район",33.2549109,46.7899109
1512782,"Николаевка","Великолепетиський район","Херсонська область","Николаевка Великолепетиський район",34.2380085,47.1029593
1512850,"Николаевка","Генічеський район","Херсонська область","Николаевка Генічеський район",34.6072316,46.1053931
1512757,"Никольское","Білозерський район","Херсонська область","Никольское Білозерський район",32.8095101,46.7246399
1512899,"Новая Збурьевка","Голопристанський район","Херсонська область","Новая Збурьевка Голопристанський район",32.456312,46.4529
1512799,"Новая Калуга","Великоолександрівський район","Херсонська область","Новая Калуга Великоолександрівський район",33.0509537,47.4047293
1512800,"Новая Каменка","Великоолександрівський район","Херсонська область","Новая Каменка Великоолександрівський район",33.5810664,47.2187336
1512801,"Новая Кубань","Великоолександрівський район","Херсонська область","Новая Кубань Великоолександрівський район",33.3475192,47.1149571
1513095,"Новая Маячка","Олешківський / Цюрупинський район","Херсонська область","Новая Маячка Олешківський / Цюрупинський район",33.2298312,46.5963904
1512997,"Новоалександровка","Нижньосірогозький район","Херсонська область","Новоалександровка Нижньосірогозький район",34.4211658,46.9773367
1513020,"Новоалександровка","Нововоронцовський район","Херсонська область","Новоалександровка Нововоронцовський район",33.876822,47.2645819
1513021,"Нововоронцовка","Нововоронцовський район","Херсонська область","Нововоронцовка Нововоронцовський район",33.9169021,47.498123
1512802,"Новодмитровка","Великоолександрівський район","Херсонська область","Новодмитровка Великоолександрівський район",33.3487872,47.3556515
1512853,"Новодмитровка","Генічеський район","Херсонська область","Новодмитровка Генічеський район",34.514354,46.2063193
